sentiment,type_token_ratio,avg_word_length,exclamation_dens,question_dens,emoji_count,positive_ratio,negative_ratio,sentiment_polarity,first_person_dens,sentence_count
-1,0.9259259259259259,5.37037037037037,0.0,0.0,0.0,0.073,0.332,-0.2,0.0,1.0
-1,1.0,5.5625,0.0,0.0,0.0,0.206,0.0,-0.8,0.0,1.0
-1,1.0,5.538461538461538,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,1.0
-1,0.9166666666666666,5.666666666666667,0.0,0.0,0.0,0.105,0.03,-0.02291666666666666,0.0,1.0
-1,0.967741935483871,5.870967741935484,0.0,0.0,0.0,0.205,0.151,-0.049999999999999996,0.0,1.0
-1,0.9523809523809523,6.0,0.0,0.0,0.0,0.0,0.297,-0.30000000000000004,0.0,1.0
-1,0.9,4.3,0.0,0.0,0.0,0.115,0.269,-0.6999999999999998,0.0,1.0
-1,0.9545454545454546,5.7727272727272725,0.0,0.0,0.0,0.098,0.121,-0.25,0.0,1.0
-1,0.8666666666666667,4.9,0.0,0.0,0.0,0.077,0.092,-0.03333333333333333,0.0,1.0
-1,1.0,5.833333333333333,0.0,0.0,0.0,0.154,0.114,-0.25,0.0,1.0
-1,0.9117647058823529,5.529411764705882,0.0,0.0,0.0,0.261,0.0,-0.07857142857142857,0.0,1.0
-1,0.9230769230769231,5.076923076923077,0.0,0.0,0.0,0.185,0.0,-0.05555555555555555,0.0,1.0
-1,1.0,5.0476190476190474,0.0,0.0,0.0,0.0,0.16,-0.16666666666666666,0.0,1.0
-1,1.0,5.130434782608695,0.0,0.0,0.0,0.162,0.343,-0.8,0.0,1.0
-1,0.8780487804878049,5.219512195121951,0.0,0.0,0.0,0.055,0.057,-0.25,0.0,1.0
-1,1.0,4.6,0.0,0.0,0.0,0.0,0.224,-0.25,0.0,1.0
-1,1.0,5.166666666666667,0.0,0.0,0.0,0.0,0.333,-0.03749999999999999,0.0,1.0
-1,1.0,6.384615384615385,0.0,0.0,0.0,0.0,0.195,-0.15555555555555556,0.0,1.0
-1,1.0,6.0,0.0,0.0,0.0,0.0,0.136,-0.009595959595959602,0.0,1.0
-1,0.8461538461538461,6.0,0.0,0.0,0.0,0.0,0.0,-0.07499999999999998,0.0,1.0
-1,0.8125,4.5625,0.0,0.0,0.0,0.238,0.139,-0.5,0.0,1.0
-1,1.0,7.103448275862069,0.0,0.0,0.0,0.0,0.365,-0.5,0.0,1.0
-1,0.8108108108108109,5.4324324324324325,0.0,0.0,0.0,0.252,0.283,-0.04404761904761906,0.0,1.0
-1,0.9375,4.1875,0.0,0.0,0.0,0.0,0.157,-0.25,0.0,1.0
-1,0.8823529411764706,5.647058823529412,0.0,0.0,0.0,0.0,0.292,-0.2333333333333333,0.0,1.0
-1,1.0,4.764705882352941,0.0,0.0,0.0,0.0,0.08,-0.2638888888888889,0.0,1.0
-1,0.9523809523809523,4.761904761904762,0.0,0.0,0.0,0.0,0.368,-0.6749999999999999,0.0,1.0
-1,0.967741935483871,5.612903225806452,0.0,0.0,0.0,0.137,0.272,-0.024999999999999994,0.0,1.0
-1,0.8717948717948718,4.769230769230769,0.0,0.0,0.0,0.056,0.135,-0.1,0.0,1.0
-1,1.0,5.111111111111111,0.0,0.0,0.0,0.366,0.211,-0.5,0.0,1.0
-1,0.9428571428571428,5.885714285714286,0.0,0.0,0.0,0.109,0.253,-0.5,0.0,1.0
-1,0.875,4.333333333333333,0.0,0.0,0.0,0.058,0.126,-0.3,0.0,1.0
-1,0.5714285714285714,4.771428571428571,0.0,0.0,0.0,0.125,0.073,-0.10714285714285714,0.0,1.0
-1,0.96875,6.03125,0.0,0.0,0.0,0.078,0.114,-0.12291666666666669,0.0,1.0
-1,0.9259259259259259,5.814814814814815,0.0,0.0,0.0,0.071,0.183,-0.325,0.0,1.0
-1,0.8888888888888888,5.222222222222222,0.0,0.0,0.0,0.0,0.0,-0.0625,0.0,1.0
